agarN,agarA,agarB,agarAB,growth,growthA,growthB,growthAB,p256,p
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,U
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,S
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,A
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,A
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,B
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,B
FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,A/B
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,A/B
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8,AB
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,9,AB
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10,AB
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,11,AB
FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,12,AB
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,13,AB
FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,14,AB
TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,15,AB
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,16,S
TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,17,S
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,18,A
TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,19,A
FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,20,B
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,21,B
FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,22,A/B
TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,23,A/B
FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,24,AB
TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,25,AB
FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,26,AB
TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,27,AB
FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,28,AB
TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,29,AB
FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,30,AB
TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,31,AB
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,32,E
TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,33,E
FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,34,E
TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,35,E
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,36,E
TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,37,E
FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,38,E
TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,39,E
FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,40,E
TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,41,E
FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,42,E
TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,43,E
FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,44,E
TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,45,E
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,46,E
TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,47,E
FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,48,A
TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,49,A
FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,50,A
TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,51,A
FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,52,A/B
TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,53,A/B
FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,54,A/B
TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,55,A/B
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,56,AB
TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,57,AB
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,58,AB
TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,59,AB
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,60,AB
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,61,AB
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,62,AB
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,63,AB
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,64,E
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,65,E
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,66,E
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,67,E
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,68,E
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,69,E
FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,70,E
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,71,E
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,72,E
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,73,E
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,74,E
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,75,E
FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,76,E
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,77,E
FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,78,E
TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,79,E
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,80,B
TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,81,B
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,82,A/B
TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,83,A/B
FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,84,B
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,85,B
FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,86,A/B
TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,87,A/B
FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,88,AB
TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,89,AB
FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,90,AB
TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,91,AB
FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,92,AB
TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,93,AB
FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,94,AB
TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,95,AB
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,96,E
TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,97,E
FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,98,E
TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,99,E
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,100,E
TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,101,E
FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,102,E
TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,103,E
FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,104,E
TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,105,E
FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,106,E
TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,107,E
FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,108,E
TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,109,E
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,110,E
TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,111,E
FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,112,A/B
TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,113,A/B
FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,114,A/B
TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,115,A/B
FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,116,A/B
TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,117,A/B
FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,118,A/B
TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,119,A/B
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,120,AB
TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,121,AB
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,122,AB
TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,123,AB
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,124,AB
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,125,AB
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,126,AB
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,127,AB
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,128,E
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,129,E
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,130,E
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,131,E
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,132,E
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,133,E
FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,134,E
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,135,E
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,136,E
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,137,E
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,138,E
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,139,E
FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,140,E
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,141,E
FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,142,E
TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,143,E
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,144,AB
TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,145,AB
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,146,AB
TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,147,AB
FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,148,AB
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,149,AB
FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,150,AB
TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,151,AB
FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,152,AB
TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,153,AB
FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,154,AB
TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,155,AB
FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,156,AB
TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,157,AB
FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,158,AB
TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,159,AB
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,160,E
TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,161,E
FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,162,E
TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,163,E
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,164,E
TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,165,E
FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,166,E
TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,167,E
FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,168,E
TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,169,E
FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,170,E
TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,171,E
FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,172,E
TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,173,E
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,174,E
TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,175,E
FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,176,AB
TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,177,AB
FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,178,AB
TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,179,AB
FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,180,AB
TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,181,AB
FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,182,AB
TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,183,AB
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,184,AB
TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,185,AB
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,186,AB
TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,187,AB
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,188,AB
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,189,AB
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,190,AB
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,191,AB
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,192,E
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,193,E
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,194,E
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,195,E
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,196,E
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,197,E
FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,198,E
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,199,E
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,200,E
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,201,E
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,202,E
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,203,E
FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,204,E
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,205,E
FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,206,E
TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,207,E
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,208,AB
TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,209,AB
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,210,AB
TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,211,AB
FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,212,AB
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,213,AB
FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,214,AB
TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,215,AB
FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,216,AB
TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,217,AB
FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,218,AB
TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,219,AB
FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,220,AB
TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,221,AB
FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,222,AB
TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,223,AB
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,224,E
TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,225,E
FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,226,E
TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,227,E
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,228,E
TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,229,E
FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,230,E
TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,231,E
FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,232,E
TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,233,E
FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,234,E
TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,235,E
FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,236,E
TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,237,E
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,238,E
TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,239,E
FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,240,AB
TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,241,AB
FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,242,AB
TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,243,AB
FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,244,AB
TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,245,AB
FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,246,AB
TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,247,AB
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,248,AB
TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,249,AB
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,250,AB
TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,251,AB
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,252,AB
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,253,AB
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,254,AB
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,255,AB
